Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
211,0.1809,31.19,30.03,0.86,0.82
212,0.1809,31.19,30.03,0.86,0.82
213,0.1809,31.2,30.04,0.86,0.82
214,0.1809,31.18,30.03,0.86,0.82
215,0.1809,31.18,30.02,0.86,0.82
216,0.1809,31.18,30.02,0.86,0.82
217,0.1809,31.18,30.03,0.86,0.82
218,0.1809,31.18,30.02,0.86,0.82
219,0.1809,31.18,30.02,0.86,0.82
220,0.1809,31.19,30.03,0.86,0.82
221,0.1809,31.19,30.04,0.86,0.82
222,0.1809,31.17,30.01,0.86,0.82
223,0.1809,31.18,30.03,0.86,0.82
224,0.1809,31.19,30.03,0.86,0.82
225,0.1809,31.19,30.03,0.86,0.82
226,0.1809,31.21,30.06,0.86,0.82
227,0.1809,31.17,30.01,0.86,0.82
228,0.1809,31.18,30.02,0.86,0.82
229,0.1809,31.19,30.04,0.86,0.82
230,0.1809,31.19,30.03,0.86,0.82
231,0.1809,31.19,30.03,0.86,0.82
232,0.1809,31.19,30.03,0.86,0.82
233,0.1809,31.18,30.02,0.86,0.82
234,0.1809,31.19,30.03,0.86,0.82
235,0.1809,31.17,30.01,0.86,0.82
236,0.1809,31.17,30.01,0.86,0.82
237,0.1809,31.18,30.02,0.86,0.82
238,0.1809,31.19,30.03,0.86,0.82
239,0.1809,31.19,30.03,0.86,0.82
240,0.1809,31.18,30.02,0.86,0.82
241,0.1809,31.17,30.01,0.86,0.82
242,0.1809,31.17,30.02,0.86,0.82
243,0.1809,31.19,30.03,0.86,0.82
244,0.1809,31.19,30.03,0.86,0.82
245,0.1809,31.19,30.03,0.86,0.82
246,0.1809,31.18,30.02,0.86,0.82
247,0.1809,31.18,30.02,0.86,0.82
248,0.1809,31.19,30.03,0.86,0.82
249,0.1809,31.18,30.02,0.86,0.82
250,0.1809,31.18,30.02,0.86,0.82
251,0.1809,31.19,30.03,0.86,0.82
252,0.1809,31.19,30.04,0.86,0.82
253,0.1809,31.18,30.03,0.86,0.82
254,0.1809,31.18,30.03,0.86,0.82
255,0.1809,31.19,30.03,0.86,0.82
256,0.1809,31.18,30.03,0.86,0.82
257,0.1809,31.19,30.03,0.86,0.82
258,0.1809,31.18,30.02,0.86,0.82
259,0.1809,31.18,30.02,0.86,0.82
260,0.1809,31.18,30.03,0.86,0.82
261,0.1809,31.19,30.03,0.86,0.82
262,0.1809,31.19,30.03,0.86,0.82
263,0.1809,31.19,30.04,0.86,0.82
264,0.1809,31.19,30.04,0.86,0.82
265,0.1809,31.18,30.03,0.86,0.82
266,0.1809,31.19,30.03,0.86,0.82
267,0.1809,31.19,30.03,0.86,0.82
268,0.1809,31.18,30.02,0.86,0.82
269,0.1809,31.18,30.02,0.86,0.82
270,0.1809,31.18,30.03,0.86,0.82
271,0.1809,31.19,30.04,0.86,0.82
272,0.1809,31.19,30.04,0.86,0.82
273,0.1809,31.18,30.02,0.86,0.82
274,0.1809,31.19,30.03,0.86,0.82
275,0.1809,31.19,30.03,0.86,0.82
276,0.1809,31.19,30.03,0.86,0.82
277,0.1809,31.18,30.02,0.86,0.82
278,0.1809,31.19,30.03,0.86,0.82
279,0.1809,31.18,30.02,0.86,0.82
280,0.1809,31.19,30.03,0.86,0.82
281,0.1809,31.18,30.02,0.86,0.82
282,0.1809,31.19,30.03,0.86,0.82
283,0.1809,31.19,30.03,0.86,0.82
284,0.1809,31.19,30.03,0.86,0.82
285,0.1809,31.18,30.03,0.86,0.82
286,0.1809,31.19,30.03,0.86,0.82
287,0.1809,31.19,30.03,0.86,0.82
288,0.1809,31.19,30.03,0.86,0.82
289,0.1809,31.18,30.02,0.86,0.82
290,0.1809,31.19,30.03,0.86,0.82
291,0.1809,31.19,30.03,0.86,0.82
292,0.1809,31.19,30.03,0.86,0.82
293,0.1809,31.18,30.02,0.86,0.82
294,0.1809,31.19,30.04,0.86,0.82
295,0.1809,31.19,30.03,0.86,0.82
296,0.1809,31.19,30.03,0.86,0.82
297,0.1809,31.18,30.03,0.86,0.82
298,0.1809,31.19,30.03,0.86,0.82
299,0.1809,31.18,30.02,0.86,0.82
300,0.1809,31.19,30.03,0.86,0.82
